isotopologue,14,15,16,17,18,19,20,21,22,23
EF-D2O-1-2,0.077,0.351,0.572,0,0,0,0,0,0,0
EF-D2O-1-3,0.058,0.152,0.341,0.183,0.111,0.065,0.09,0,0,0
EF-D2O-1-4,0.047,0.115,0.218,0.189,0.187,0.074,0.171,0,0,0
EF-D2O-1-5,0.041,0.082,0.178,0.192,0.196,0.104,0.206,0,0,0
EF-D2O-1-6(1),0.041,0.07,0.166,0.174,0.206,0.107,0.237,0,0,0
EF-D2O-1-6(2),0.038,0.066,0.179,0.161,0.219,0.098,0.239,0,0,0
EF-D2O-1-7,0.03,0.037,0.108,0.116,0.291,0.109,0.306,0.002,0,0
EF-D2O-1-8,0.025,0.029,0.1,0.102,0.302,0.105,0.332,0.004,0,0
EF-D2O-1-9,0.025,0.015,0.077,0.066,0.334,0.084,0.395,0.004,0,0
